43.65,-0.17,4,0.00,s1,-3,-34,-26
43.43,-0.17,4,0.00,s1,-1,-41,-30
43.21,-0.17,4,0.00,s1,-1,-47,-36
43.21,-0.17,4,0.00,s1,-1,-45,-34
42.98,-0.18,4,0.00,s1,4,-45,-35
42.87,-0.18,4,0.00,s1,-3,-42,-33
42.87,-0.19,4,0.00,s1,-2,-42,-30
42.87,-0.21,4,0.00,s1,-3,-45,-36
42.65,-0.21,4,0.00,s1,-1,-44,-37
42.43,-0.21,4,0.00,s1,-4,-43,-34
42.32,-0.20,4,0.00,s1,4,-60,-40
42.09,-0.20,4,0.00,s1,6,-73,-48
41.87,-0.20,4,0.00,s1,5,-79,-58
41.75,-0.21,4,0.00,s1,10,-86,-57
41.64,-0.22,4,0.00,s1,8,-93,-63
41.53,-0.22,4,0.00,s1,12,-104,-66
41.42,-0.23,4,0.00,s1,18,-106,-70
41.42,-0.24,4,0.00,s1,17,-111,-70
41.42,-0.25,4,0.00,s1,21,-110,-72
41.30,-0.26,4,0.00,s1,20,-116,-77
41.08,-0.27,4,0.00,s1,24,-132,-80
40.96,-0.27,4,0.00,s1,31,-138,-87
40.85,-0.28,4,0.00,s1,42,-150,-91
40.62,-0.28,4,0.00,s1,47,-169,-103
40.51,-0.27,4,0.00,s1,59,-188,-106
40.40,-0.27,4,0.00,s1,60,-194,-107
40.40,-0.29,4,0.00,s1,62,-198,-108
40.28,-0.29,4,0.00,s1,66,-218,-114
40.28,-0.30,4,0.00,s1,76,-218,-118
40.17,-0.31,4,0.00,s1,70,-233,-119
40.05,-0.32,4,0.00,s1,86,-258,-131
40.05,-0.33,4,0.00,s1,90,-267,-141
39.82,-0.34,4,0.00,s1,97,-282,-137
39.71,-0.35,4,0.00,s1,97,-304,-140
39.71,-0.36,4,0.00,s1,109,-313,-150
39.71,-0.36,4,39.71,s1,107,-320,-148
39.59,-0.37,4,39.71,s1,110,-319,-154
39.59,-0.37,4,39.71,s1,117,-335,-154
39.36,-0.37,4,39.71,s1,125,-365,-169
39.13,-0.36,4,39.71,s1,148,-415,-182
38.90,-0.34,4,39.71,s1,168,-480,-196
38.79,-0.34,4,39.71,s1,185,-505,-205
38.79,-0.34,4,39.71,s1,197,-534,-208
38.67,-0.35,4,39.71,s1,202,-538,-206
38.67,-0.36,4,39.71,s1,201,-546,-208
38.67,-0.36,4,39.71,s1,192,-527,-226
38.55,-0.36,4,39.71,s1,229,-586,-269
38.55,-0.36,4,39.71,s1,249,-627,-270
38.55,-0.37,4,39.71,s1,252,-635,-261
38.44,-0.38,4,39.71,s1,254,-640,-260
38.44,-0.38,4,39.71,s1,261,-657,-268
38.44,-0.39,4,39.71,s1,267,-677,-271
38.44,-0.39,4,39.71,s1,268,-677,-273
38.44,-0.39,4,39.71,s1,269,-675,-263
38.44,-0.40,4,39.71,s1,269,-679,-269
38.32,-0.41,4,39.71,s1,278,-680,-268
38.44,-0.41,4,39.71,s1,271,-676,-263
38.32,-0.42,4,39.71,s1,270,-678,-267
38.44,-0.42,4,39.71,s1,274,-683,-267
38.32,-0.42,4,39.71,s1,281,-688,-265
38.32,-0.43,4,39.71,s1,287,-714,-268
38.21,-0.43,4,39.71,s1,294,-712,-269
38.21,-0.44,4,39.71,s1,184,-711,-281
37.86,-0.42,4,39.71,s1,459,-975,-214
37.86,-0.42,4,39.71,s1,313,-856,-322
37.62,-0.42,4,39.71,s1,414,-984,-315
37.62,-0.42,4,39.71,s1,433,-1010,-284
37.62,-0.43,4,39.71,s1,429,-993,-291
37.62,-0.44,4,39.71,s1,426,-1017,-309
37.62,-0.44,4,39.71,s1,418,-1002,-298
37.62,-0.44,4,39.71,s1,415,-991,-305
37.62,-0.46,4,39.71,s1,431,-1015,-303
37.62,-0.47,4,39.71,s1,424,-1012,-302
37.62,-0.47,4,39.71,s1,420,-1007,-307
37.62,-0.47,4,39.71,s1,425,-1018,-300
37.62,-0.48,4,39.71,s1,426,-1010,-300
37.62,-0.49,4,39.71,s1,422,-1004,-307
37.62,-0.50,4,39.71,s1,425,-1017,-302
37.62,-0.50,4,39.71,s1,424,-1004,-305
37.62,-0.51,4,39.71,s1,427,-1009,-307
37.62,-0.52,4,39.71,s1,423,-1012,-299
37.51,-0.52,4,39.71,s1,427,-1017,-306
37.39,-0.52,4,39.71,s1,461,-1084,-295
37.39,-0.52,4,39.71,s1,464,-1104,-295
37.27,-0.52,4,39.71,s1,477,-1113,-296
37.27,-0.52,4,39.71,s1,474,-1122,-295
37.27,-0.53,4,39.71,s1,479,-1129,-298
37.27,-0.54,4,39.71,s1,478,-1134,-297
37.27,-0.55,4,39.71,s1,478,-1133,-300
37.27,-0.55,4,39.71,s1,481,-1135,-298
37.27,-0.56,4,39.71,s1,481,-1139,-304
37.27,-0.57,4,39.71,s1,479,-1142,-301
37.27,-0.58,4,39.71,s1,486,-1147,-294
37.27,-0.58,4,39.71,s1,486,-1150,-298
37.27,-0.58,4,39.71,s1,484,-1153,-297
37.27,-0.59,4,39.71,s1,494,-1167,-295
37.27,-0.59,4,39.71,s1,494,-1169,-288
37.15,-0.60,4,39.71,s1,499,-1172,-291
37.15,-0.60,4,39.71,s1,499,-1185,-289
37.04,-0.60,4,39.71,s1,515,-1210,-289
37.04,-0.60,4,39.71,s1,522,-1228,-291
37.04,-0.61,4,39.71,s1,521,-1236,-288
37.04,-0.62,4,39.71,s1,522,-1239,-294
37.04,-0.62,4,39.71,s1,525,-1249,-289
37.04,-0.63,4,39.71,s1,525,-1249,-288
37.04,-0.63,4,39.71,s1,530,-1252,-285
37.04,-0.64,4,39.71,s1,526,-1259,-285
37.04,-0.65,4,39.71,s1,526,-1259,-287
37.04,-0.66,4,39.71,s1,532,-1265,-274
37.04,-0.66,4,39.71,s1,533,-1272,-271
37.04,-0.66,4,39.71,s1,524,-1274,-265
37.04,-0.67,4,39.71,s1,531,-1281,-258
37.04,-0.68,4,39.71,s1,533,-1279,-263
37.04,-0.69,4,39.71,s1,530,-1281,-260
37.04,-0.69,4,39.71,s1,528,-1285,-266
37.04,-0.70,4,39.71,s1,533,-1286,-262
37.04,-0.70,4,39.71,s1,528,-1289,-262
37.04,-0.71,4,39.71,s1,527,-1286,-262
37.04,-0.71,4,39.71,s1,528,-1291,-263
37.04,-0.72,4,39.71,s1,530,-1290,-257
37.04,-0.72,4,39.71,s1,531,-1295,-255
37.04,-0.72,4,39.71,s1,535,-1297,-258
37.04,-0.72,4,39.71,s1,526,-1293,-255
37.04,-0.72,4,39.71,s1,530,-1289,-259
37.04,-0.72,4,39.71,s1,534,-1292,-259
37.04,-0.72,4,39.71,s1,534,-1294,-261
37.04,-0.72,4,39.71,s1,537,-1296,-257
37.04,-0.72,4,39.71,s1,532,-1292,-265
37.04,-0.72,4,39.71,s1,535,-1294,-257
37.04,-0.72,4,39.71,s1,530,-1297,-257
37.04,-0.72,4,39.71,s1,533,-1297,-259
37.04,-0.72,4,39.71,s1,532,-1295,-260
37.04,-0.72,4,39.71,s1,537,-1293,-259
37.04,-0.72,4,39.71,s1,529,-1298,-262
37.04,-0.72,4,39.71,s1,531,-1296,-261
37.04,-0.72,4,39.71,s1,530,-1294,-259
37.04,-0.72,4,39.71,s1,533,-1298,-259
37.04,-0.72,4,39.71,s1,536,-1296,-256
37.04,-0.72,4,39.71,s1,533,-1296,-258
37.04,-0.72,4,39.71,s1,533,-1298,-256
37.04,-0.72,4,39.71,s1,531,-1297,-260
37.04,-0.72,4,39.71,s1,531,-1299,-257
37.04,-0.72,4,39.71,s1,534,-1293,-256
37.04,-0.72,4,39.71,s1,535,-1297,-259
37.04,-0.72,4,39.71,s1,533,-1296,-262
37.04,-0.72,4,39.71,s1,528,-1295,-257
37.04,-0.72,4,39.71,s1,536,-1297,-262
37.04,-0.72,4,39.71,s1,536,-1298,-259
37.04,-0.72,4,39.71,s1,533,-1297,-258
37.04,-0.72,4,39.71,s1,536,-1300,-260
37.04,-0.72,4,39.71,s1,531,-1297,-260
37.04,-0.72,4,39.71,s1,531,-1299,-265
37.04,-0.72,4,39.71,s1,535,-1302,-259
37.04,-0.72,4,39.71,s1,534,-1297,-259
37.04,-0.72,4,39.71,s1,533,-1302,-255
37.04,-0.72,4,39.71,s1,528,-1299,-260
37.04,-0.72,4,39.71,s1,535,-1304,-257
37.04,-0.72,4,39.71,s1,535,-1301,-259
37.04,-0.72,4,39.71,s1,535,-1303,-259
