74.20,0.04,4,0.00,s1,9,-8,-23,s2,-5,-11,-44,s3,-5,-12,-21,s4,-12,1,13,s5,21,6,-52,s6,1,0,-6,s7,-20,-2,-41,s8,3,-3,2,s9,4,6,-65,s10,-13,7,-36,s11,-2,4,-4,s12,-1,-3,2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,7,-13,-26,s2,-9,-18,-43,s3,-10,-10,-20,s4,-9,1,21,s5,13,7,-59,s6,0,2,-8,s7,-18,-1,-34,s8,3,-3,6,s9,5,12,-62,s10,-9,5,-40,s11,-1,3,-12,s12,-3,-1,-4,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,12,-11,-30,s2,-6,-8,-46,s3,-7,-11,-21,s4,-10,2,22,s5,15,1,-58,s6,1,5,-10,s7,-18,-2,-42,s8,4,0,8,s9,2,5,-67,s10,-14,7,-39,s11,-4,1,-5,s12,-2,3,0,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,8,-10,-38,s2,-9,-15,-50,s3,-12,-11,-22,s4,-10,2,19,s5,14,0,-60,s6,-3,6,-10,s7,-20,3,-46,s8,2,0,5,s9,0,9,-71,s10,-10,8,-39,s11,2,3,-4,s12,-2,0,0,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,8,-10,-34,s2,-8,-13,-53,s3,-7,-7,-22,s4,-9,3,18,s5,18,4,-64,s6,-3,3,-7,s7,-25,-1,-49,s8,1,-2,8,s9,6,4,-73,s10,-12,7,-44,s11,4,2,-4,s12,1,-1,4,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,14,-14,-35,s2,-4,-16,-53,s3,-9,-9,-22,s4,-14,3,20,s5,16,2,-61,s6,-1,2,-12,s7,-23,-5,-55,s8,-1,-5,7,s9,4,10,-80,s10,-18,13,-43,s11,-7,1,-5,s12,-2,0,2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,9,-15,-35,s2,-9,-13,-55,s3,-10,-11,-27,s4,-9,1,22,s5,21,2,-70,s6,-4,4,-14,s7,-27,5,-45,s8,-1,1,6,s9,10,11,-83,s10,-15,9,-50,s11,0,7,-9,s12,0,0,3,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,6,-11,-38,s2,-5,-16,-56,s3,-9,-10,-25,s4,-10,3,24,s5,18,10,-71,s6,-4,5,-13,s7,-25,1,-55,s8,1,0,4,s9,7,10,-84,s10,-12,6,-49,s11,1,2,-8,s12,-1,-6,2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,11,-12,-42,s2,-8,-22,-56,s3,-11,-16,-24,s4,-9,-1,24,s5,21,5,-75,s6,-5,1,-8,s7,-28,3,-55,s8,-1,-6,7,s9,6,12,-88,s10,-17,11,-50,s11,-2,7,-10,s12,-1,1,-2,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
74.20,0.04,4,0.00,s1,6,-17,-42,s2,-3,-18,-63,s3,-15,-15,-27,s4,-10,-1,24,s5,21,4,-76,s6,-4,3,-14,s7,-26,5,-57,s8,-3,-2,14,s9,10,8,-89,s10,-12,8,-54,s11,0,1,-10,s12,-3,1,-1,s13,0,0,0,s14,0,0,0,s15,0,0,0,s16,0,0,0,
